City,City ID,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
port alfred,964432,0,ZA,"July 24, 2018",59,-33.59,26.89,69.42,13.56
esperance,3573739,20,TT,"July 23, 2018",94,10.24,-61.45,77.0,5.84
port-cartier,6111696,90,CA,"July 24, 2018",100,50.03,-66.88,62.6,4.7
terrace,6162949,5,CA,"July 24, 2018",55,54.52,-128.61,64.4,3.36
tilichiki,2120591,88,RU,"July 24, 2018",84,60.47,166.1,54.66,6.29
golovino,560646,56,RU,"July 24, 2018",81,55.95,40.44,67.44,11.99
mehamn,778707,75,NO,"July 23, 2018",76,71.03,27.85,57.2,6.93
mataura,6201424,0,NZ,"July 24, 2018",88,-46.19,168.86,38.55,7.74
puerto ayora,3652764,88,EC,"July 24, 2018",100,-0.74,-90.35,71.4,10.76
paamiut,3421193,92,GL,"July 24, 2018",96,61.99,-49.67,40.08,5.06
toora-khem,1489401,8,RU,"July 24, 2018",51,52.47,96.11,78.06,2.37
soledade,3387258,75,BR,"July 23, 2018",100,-7.06,-36.37,66.2,10.29
mataram,1630639,24,ID,"July 24, 2018",56,-5.32,105.06,89.67,3.15
aykhal,2027296,32,RU,"July 24, 2018",48,65.95,111.51,63.03,8.63
basoko,219414,80,CD,"July 24, 2018",95,1.23,23.61,73.83,3.83
monchique,2266268,0,PT,"July 24, 2018",72,37.32,-8.56,66.2,3.36
vaini,1273574,100,IN,"July 24, 2018",99,15.34,74.49,72.66,9.42
khabary,1503856,64,RU,"July 24, 2018",87,53.63,79.53,60.06,4.61
hermanus,3366880,20,ZA,"July 24, 2018",82,-34.42,19.24,51.69,4.27
barrow,3833859,0,AR,"July 24, 2018",62,-38.31,-60.23,32.25,8.41
qaanaaq,3831208,32,GL,"July 24, 2018",100,77.48,-69.36,34.5,4.16
rikitea,4030556,76,PF,"July 24, 2018",99,-23.12,-134.97,74.55,13.89
nargana,3703946,92,PA,"July 24, 2018",100,9.44,-78.59,78.06,4.16
rawson,3839307,0,AR,"July 24, 2018",88,-43.3,-65.11,27.21,3.71
codrington,2160063,0,AU,"July 24, 2018",75,-28.95,153.24,66.36,3.27
lebu,344979,75,ET,"July 24, 2018",87,8.96,38.73,59.0,4.7
busselton,2075265,48,AU,"July 24, 2018",99,-33.64,115.35,63.3,14.67
santa isabel do rio negro,3662489,64,BR,"July 24, 2018",98,-0.41,-65.02,74.46,2.37
punta arenas,3874787,0,CL,"July 23, 2018",65,-53.16,-70.91,41.0,19.46
benghazi,88319,75,LY,"July 23, 2018",70,32.12,20.07,84.2,23.04
airai,1651810,0,TL,"July 24, 2018",28,-8.93,125.41,83.01,1.25
okha,2122614,8,RU,"July 24, 2018",60,53.59,142.95,67.26,7.29
chokurdakh,2126123,0,RU,"July 24, 2018",71,70.62,147.9,50.61,18.25
roswell,5488441,1,US,"July 23, 2018",39,33.39,-104.52,82.4,10.29
colon,5068725,1,US,"July 23, 2018",93,41.3,-96.61,71.6,5.82
